OBJECTID *,Shape *,X,Y,Nombre,Nivel
77,Point,707746,1754125,Playa Zicatela 01,Mesoplaya
126,Point,707734,1754114,Playa Zicatela 01,Infraplaya
78,Point,707858,1753988,Playa Zicatela 02,Mesoplaya
127,Point,707842,1753983,Playa Zicatela 02,Infraplaya
79,Point,707933,1753834,Playa Zicatela 03,Mesoplaya
128,Point,707921,1753825,Playa Zicatela 03,Infraplaya
81,Point,708030,1753699,Playa Zicatela 04,Mesoplaya
129,Point,708012,1753685,Playa Zicatela 04,Infraplaya
82,Point,708103,1753538,Playa Zicatela 05,Mesoplaya
130,Point,708084,1753529,Playa Zicatela 05,Infraplaya
83,Point,708166,1753380,Playa Zicatela 06,Mesoplaya
131,Point,708152,1753373,Playa Zicatela 06,Infraplaya
84,Point,708258,1753217,Playa Zicatela 07,Mesoplaya
132,Point,708240,1753200,Playa Zicatela 07,Infraplaya
85,Point,708350,1753061,Playa Zicatela 08,Mesoplaya
133,Point,708334,1753051,Playa Zicatela 08,Infraplaya
86,Point,708451,1752912,Playa Zicatela 09,Mesoplaya
28,Point,707770,1754148,Playa Zicatela 1,Supraplaya
37,Point,708580,1752787,Playa Zicatela 10,Supraplaya
87,Point,708557,1752768,Playa Zicatela 10,Mesoplaya
135,Point,708547,1752757,Playa Zicatela 10,Infraplaya
38,Point,708671,1752644,Playa Zicatela 11,Supraplaya
88,Point,708653,1752632,Playa Zicatela 11,Mesoplaya
136,Point,708643,1752626,Playa Zicatela 11,Infraplaya
39,Point,708776,1752502,Playa Zicatela 12,Supraplaya
89,Point,708752,1752487,Playa Zicatela 12,Mesoplaya
137,Point,708744,1752481,Playa Zicatela 12,Infraplaya
40,Point,708876,1752360,Playa Zicatela 13,Supraplaya
90,Point,708857,1752350,Playa Zicatela 13,Mesoplaya
138,Point,708845,1752341,Playa Zicatela 13,Infraplaya
41,Point,708985,1752215,Playa Zicatela 14,Supraplaya
91,Point,708959,1752202,Playa Zicatela 14,Mesoplaya
139,Point,708946,1752193,Playa Zicatela 14,Infraplaya
42,Point,709086,1752064,Playa Zicatela 15,Supraplaya
92,Point,709057,1752050,Playa Zicatela 15,Mesoplaya
140,Point,709046,1752042,Playa Zicatela 15,Infraplaya
43,Point,709171,1751903,Playa Zicatela 16,Supraplaya
93,Point,709150,1751891,Playa Zicatela 16,Mesoplaya
141,Point,709141,1751887,Playa Zicatela 16,Infraplaya
44,Point,709255,1751744,Playa Zicatela 17,Supraplaya
94,Point,709228,1751732,Playa Zicatela 17,Mesoplaya
142,Point,709215,1751728,Playa Zicatela 17,Infraplaya
29,Point,707878,1754009,Playa Zicatela 2,Supraplaya
30,Point,707968,1753859,Playa Zicatela 3,Supraplaya
31,Point,708062,1753717,Playa Zicatela 4,Supraplaya
32,Point,708216,1753587,Playa Zicatela 5,Supraplaya
33,Point,708274,1753433,Playa Zicatela 6,Supraplaya
34,Point,708388,1753279,Playa Zicatela 7,Supraplaya
35,Point,708417,1753088,Playa Zicatela 8,Supraplaya
36,Point,708480,1752931,Playa Zicatela 9,Supraplaya
134,Point,708437,1752903,Playa Zicatela 9,Infraplaya
